Dex Entries;;;;;;;;;;;;;;;;;;;
A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.;It can go for days without eating a single morsel. In the bulb on its back, it stores energy.;The bulb-like pouch on its back grows larger as it ages. The pouch is filled with numerous seeds.;The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.;It carries a seed on its back right from birth. As it grows older, the seed also grows larger.;While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow.;Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.;There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.;For some time after its birth, it grows by gaining nourishment from the seed on its back.;;;;;;;;;;;
When it locks eyes with an enemy, it will use a mix of PSI moves such as Hypnosis and Confusion.;Avoid eye contact if you come across one. It will try to put you to sleep by using its pendulum.;If you lock eyes with it, it will try to hypnotize you. It is best to close your eyes quickly before you get hypnotized.;When it is very hungry, it puts humans it meets to sleep, then it feasts on their dreams.;Always holding a pendulum that it swings at a steady rhythm, it causes drowsiness in anyone nearby.;The longer it swings its pendulum, the longer the effects of its hypnosis last.;The arcing movement and glitter of the pendulum in a Hypno's hand lull the foe into deep hypnosis. While searching for prey, it polishes the pendulum.;It carries a pendulum-like device. There once was an incident in which it took away a child it hypnotized.;Seeing its swinging pendulum can induce sleep in three seconds, even in someone who just woke up.;While it is an extremely dangerous Pokémon, people who are in need of a good, sound sleep call it their savior.;As a matter of course, it makes anyone it meets fall asleep and has a taste of their dreams. Anyone having a good dream, it carries off.;In Alola, <<0775koma>> is Hypno's main target. It rarely harms people.;There are some Hypno that assist doctors with patients who can't sleep at night in hospitals.;;;;;;;
Its pincers are not only powerful weapons, they are used for balance when walking sideways.;Its pincers are superb weapons. They sometimes break off during battle, but they grow back fast.;Lives on beaches and seashores. If a pincer falls off, a new, stronger pincer grows back in its place.;If it senses danger approaching, it cloaks itself with bubbles from its mouth so it will look bigger.;The pincers break off easily. If it loses a pincer, it somehow becomes incapable of walking sideways.;If it is unable to find food, it will absorb nutrients by swallowing a mouthful of sand.;Krabby live in holes dug into beaches. On sandy shores with little in the way of food, they can be seen squabbling with each other over territory.;It can be found near the sea. The large pincers grow back if they are torn out of their sockets.;It lives in burrows dug on sandy beaches. Its pincers fully grow back if they are broken in battle.;;;;;;;;;;;
The larger pincer has 10,000-horsepower crushing force. However, its huge size makes it unwieldy to use.;One claw grew massively and is as hard as steel. It has 10,000-horsepower strength. However, it is too heavy.;Said to be capable of prying open <<0090shel>> and <<0091cloy>> shells using its 10,000-horsepower pincer.;It can hardly lift its massive, overgrown pincer. The pincers size makes it difficult to aim properly.;Its pincers grow particularly large. If it lifts the pincers too fast, it loses its balance and staggers.;Its oversized claw is very powerful, but when it's not in battle, the claw just gets in the way.;It waves its huge, over sized claw in the air to communicate with others. But since the claw is so heavy, this Pokémon quickly tires.;;;;;;;;;;;;;
Usually found in power plants. Easily mistaken for a Poké Ball, it has zapped many people.;It is said to camouflage itself as a Poké Ball. It will self-destruct with very little stimulus.;Usually found in power plants. In some instances, they have been seen drawing power from the trolleys of electric trains.;It rolls to move. If the ground is uneven, a sudden jolt from hitting a bump can cause it to explode.;It was discovered when Poké Balls were introduced. It is said that there is some connection.;During the study of this Pokémon, it was discovered that its components are not found in nature.;Voltorb was first sighted at a company that manufactures Poké Balls. The link between that sighting and the fact that this Pokémon looks very similar to a Poké Ball remains a mystery.;Voltorb is extremely sensitive — it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy.;It bears an uncanny and unexplained resemblance to a Poké Ball. Because it explodes at the slightest shock, even veteran trainers treat it with caution.;A life-form whose identity is unknown. It is said to screech or suddenly selfdestruct.;It looks just like a Poké Ball. It is dangerous because it may electrocute or explode on contact.;;;;;;;;;
An enigmatic Pokémon that happens to bear a resemblance to a Poké Ball. When excited, it discharges the electric current it has stored in its belly, then lets out a great, uproarious laugh.;;;;;;;;;;;;;;;;;;;
It stores electric energy under very high pressure. It often explodes with little or no provocation.;Stores electrical energy inside its body. Even the slightest shock could trigger a huge explosion.;Stores enormous amounts of electricity within its body and explodes with the slightest provocation. Extremely dangerous.;It is dangerous. If it has too much electricity and has nothing to do, it amuses itself by exploding.;The more energy it charges up, the faster it gets. But this also makes it more likely to explode.;Electrode eats electricity in the atmosphere. On days when lightning strikes, you can see this Pokémon exploding all over the place from eating too much electricity.;One of Electrode's characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.;They appear in great numbers at electric power plants. Because they feed on electricity, they cause massive and chaotic blackouts in nearby cities.;It explodes in response to even minor stimuli. It is feared, with the nickname of 'The Bomb Ball'.;It is known to drift on winds if it is bloated to bursting with stored electricity.;;;;;;;;;;
The tissue on the surface of its body is curiously similar in composition to an Apricorn. When irritated, this Pokémon lets loose an electric current equal to 20 lightning bolts.;;;;;;;;;;;;;;;;;;;
It is often mistaken for eggs. When disturbed, they gather quickly and attack in swarms.;The heads attract each other and spin around. There must be six heads for it to maintain balance.;A Pokémon that is like the seeds of a plant. If you find one and chase it, others will join it without you noticing.;The shell is very durable. Even if it cracks, it can survive without spilling the contents.;Using telepathy only they can employ, they always form a cluster of six Exeggcute.;If even one is separated from the group, the energy bond between the six will make them rejoin instantly.;It consists of six eggs that care for each other. The eggs attract each other and spin around. When cracks increasingly appear, it is close to evolution.;Even though it appears to be eggs of some sort, it was discovered to be a life-form more like plant seeds.;Its six eggs use telepathy to communicate among themselves. It is believed to carry plant genes and the genes of other species.;Six of them together form a full-fledged Pokémon. It's often hunted by <<0739crab>>, but uses psychokinesis to drive it off.;Six of them form a single Pokémon. Should one of the six be lost, the next morning there will once more be six.;Although they are the same size as other Exeggcute, the ones produced in Alola are quite heavy. Their shells are packed full.;Though it may look like it's just a bunch of eggs, it's a proper Pokémon. Exeggcute communicates with others of its kind via telepathy, apparently.;These Pokémon get nervous when they're not in a group of six. The minute even one member of the group goes missing, Exeggcute become cowardly.;;;;;;
Legend has it that on rare occasions, one of its heads will drop off and continue on as an <<0102exeg>>.;Its cries are very noisy. This is because each of the three heads thinks about whatever it likes.;Each of the fruits is an independently-thinking head. It is said that if one drops off, it becomes an <<0102exeg>>.;Its three heads think independently. However, they are friendly and never appear to squabble.;If a head drops off, it emits a telepathic call in search of others to form an <<0102exeg>> cluster.;Living in a good environment makes it grow lots of heads. A head that drops off becomes an <<0102exeg>>.;Originally from the tropics, Exeggutor's heads grow larger from exposure to strong sunlight. It is said that when the heads fall, they group to form an <<0102exeg>>.;It is called 'The Walking Tropical Rainforest'. Each of the nuts has a face and will of its own.;It is called 'The Walking Jungle'. If a head grows too big, it falls off and becomes an <<0102exeg>>.;Each of its heads has its own will. They use telepathy to discuss their plans before coming to a joint decision.;When the time comes, one of its three heads falls off. Before long, the fallen head grows into an <<0102exeg>>.;It engages its enemies using psychic powers. Each of its three heads fires off psychokinetic energy, tripling its power.;Each of its three heads has its own thoughts. When they want to go in different directions, Exeggutor becomes unable to move.;Each of Exeggutor's three heads is thinking different thoughts. The three don't seem to be very interested in one another.;When they work together, Exeggutor's three heads can put out powerful psychic energy. Cloudy days make this Pokémon sluggish.;;;;;
Alola is the best environment for this Pokémon. Local people take pride in its appearance, saying this is how Exeggutor ought to look.;As it grew taller and taller, it outgrew its reliance on psychic powers, while within it awakened the power of the sleeping dragon.;Exeggutor is the pride of the Alolan people. Its image is carved into historical buildings and murals.;It swings its long neck like a whip and smacks its opponents. This makes Exeggutor itself dizzy, too.;The strong sunlight of the Alola region has awakened the power hidden within <<0102exeg>>. This is the result.;Blazing sunlight has brought out the true form and powers of this Pokémon.;This Pokémon's psychic powers aren't as strong as they once were. The head on this Exeggutor's tail scans surrounding areas with weak telepathy.;;;;;;;;;;;;;
It always wears the skull of its dead mother, so no one has any idea what its hidden face looks like.;Wears the skull of its deceased mother. Its cries echo inside the skull and come out as a sad melody.;Always wears the skull of its deceased mother on its head and never shows its face. It cries mournfully in the moonlight.;If it is sad or lonely, the skull it wears shakes, and emits a plaintive and mournful sound.;It lost its mother after its birth. It wears its mother's skull, never revealing its true face.;It pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull it wears are from its tears.;It wears the skull of its dead mother on its head. When it becomes lonesome, it is said to cry loudly.;When it thinks of its dead mother, it cries. Its crying makes the skull it wears rattle hollowly.;When it thinks of its deceased mother, it weeps loudly. <<0630mand>> that hear its cries will attack it from the air.;The skull it wears on its head is that of its dead mother. According to some, it will evolve when it comes to terms with the pain of her death.;At night, it weeps loudly for its dead mother, but those cries only attract its natural enemy—<<0630mand>>.;It wears its mother's skull on its head, so no one knows what its bare face looks like. However, it's clear that it's always crying.;When the memory of its departed mother brings it to tears, its cries echo mournfully within the skull it wears on its head.;This Pokémon wears the skull of its deceased mother. Sometimes Cubone's dreams make it cry, but each tear Cubone sheds makes it stronger.;;;;;;
The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.;Originally a small and weak Pokémon, it became rough and aggressive when it begin using bones as weapons.;It has been seen pounding boulders with the bone it carries in order to tap out messages to others.;It collects bones from an unknown place. Some whisper that a Marowak graveyard exists somewhere in the world.;Somewhere in the world is a cemetery just for Marowak. It gets its bones from those graves.;A Marowak is the evolved form of a <<0104cubo>> that has grown tough by overcoming the grief of losing its mother. Its tempered and hardened spirit is not easily broken.;From its birth, this savage Pokémon constantly holds bones. It is skilled in using them as weapons.;Originally, it was weak and timid. After evolution, its temperament becomes violent, and it begins to wield bones as weapons.;This Pokémon is out for vengeance on its natural enemy, <<0630mand>>. It throws bones like boomerangs to try to take it down.;It throws bones at <<0630mand>> to knock it down. It's thought that Marowak is trying to avenge its parent.;They thump their bones rhythmically to communicate among themselves. There are nearly 50 different rhythmic patterns.;This Pokémon overcame its sorrow to evolve a sturdy new body. Marowak faces its opponents bravely, using a bone as a weapon.;When this Pokémon evolved, the skull of its mother fused to it. Marowak's temperament also turned vicious at the same time.;;;;;;;
The bones it possesses were once its mother's. Its mother's regrets have become like a vengeful spirit protecting this Pokémon.;Its custom is to mourn its lost companions. Mounds of dirt by the side of the road mark the graves of the Marowak.;The rich greenery of the Alola region is hard on Marowak. It controls fire to stay alive.;When it beats opponents with its bone, the cursed flames spread to them. No amount of water will stop those flames from burning.;It has transformed the spirit of its dear departed mother into flames, and tonight it will once again dance in mourning of others of its kind.;This Pokémon sets the bone it holds on fire and dances through the night as a way to mourn its fallen allies.;The cursed flames that light up the bone carried by this Pokémon are said to cause both mental and physical pain that will never fade.;;;;;;;;;;;;;
When in a hurry, its legs lengthen progressively. It runs smoothly with extra-long, loping strides.;When kicking, the sole of its foot turns as hard as a diamond on impact and destroys its enemy.;Repeatedly kicks its enemy with legs that freely stretch and contract. Some people refer to it as the 'kicking master'.;This amazing Pokémon has an awesome sense of balance. It can kick in succession from any position.;If it starts kicking repeatedly, both legs will stretch to strike a fleeing foe.;It is also called the Kick Master. It uses its elastic legs to execute every known kick.;Its legs freely stretch and contract. Using these springlike limbs, it bowls over foes with devastating kicks. After battle, it rubs down its tired legs.;The legs freely contract and stretch. The stretchy legs allow it to hit a distant foe with a rising kick.;Its legs can stretch double. First-time foes are startled by its extensible reach.;;;;;;;;;;;
While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see.;Punches in corkscrew fashion. It can punch its way through a concrete wall like a drill.;Adept at punching invisibly quick at bullet-train speed. It takes a break every three minutes as it moves around.;Its punches slice the air. However, it seems to need a short break after fighting for three minutes.;Its punches slice the air. They are launched at such high speed, even a slight graze could cause a burn.;To increase the strength of all its punch moves, it spins its arms just before making contact.;A Hitmonchan is said to possess the spirit of a boxer who aimed to become the world champion. Having an indomitable spirit means that it will never give up.;The spirit of a pro boxer has infused this Pokémon. It throws punches that are faster than a bullet train.;The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting.;;;;;;;;;;;
Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.;Its tongue spans almost seven feet and moves more freely than its forelegs. Its licks can cause paralysis.;Its tongue is twice the length of its body. It can be moved like an arm for grabbing food and attacking.;Its tongue has well-developed nerves that run to the very tip, so it can be deftly manipulated.;Its long tongue, slathered in a gooey saliva, sticks to anything, so it is very useful.;It has a tongue that is over 6'6'' long. It uses this long tongue to lick its body clean.;Whenever it sees something unfamiliar, it always licks the object because it memorizes things by texture and taste. It is somewhat put off by sour things.;When it extends its over-six-foot-long tongue, its tail quivers. There is a possibility they are connected.;Being licked by its long, saliva-covered tongue leaves a tingling sensation. Extending its tongue retracts its tail.;It checks out whatever's around it by licking everything. If you don't clean off a spot where it's licked you, you'll break out in a rash!;It licks filth clean with its tongue. Whatever it licks always stinks afterward, so whether it's really clean is...questionable.;If this Pokémon's sticky saliva gets on you and you don't clean it off, an intense itch will set in. The itch won't go away, either.;Bug Pokémon are Lickitung's main food source. This Pokémon paralyzes its prey with a lick from its long tongue, then swallows the prey whole.;Wields its long tongue deftly, as though it were an arm. The Pokémon's viscous saliva, once it has been collected and boiled down, yields a strong and highly useful adhesive.;;;;;;
Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning.;In hot places, its internal gases could expand and explode without any warning. Be very careful!;A Pokémon that is like a thin-skinned balloon filled with a highly toxic gas. Known to occasionally explode.;Its thin, flimsy body is filled with gases that cause constant sniffles, coughs and teary eyes.;The poisonous gases it contains are a little bit lighter than air, keeping it slightly airborne.;If one gets close enough to it when it expels poisonous gas, the gas swirling inside it can be seen.;If Koffing becomes agitated, it raises the toxicity of its internal gases and then jets them out from all over its body. This Pokémon may also overinflate its round body, then explode.;Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful Poison Gas. The higher the temperature, the more gas is concocted by this Pokémon.;Getting up close to a Koffing will give you a chance to observe, through its thin skin, the toxic gases swirling inside. It blows up at the slightest stimulation.;Its thin, balloon-like body is inflated by horribly toxic gases. It reeks when it is nearby.;Lighter-than-air gases in its body keep it aloft. The gases not only smell, they are also explosive.;Its body is full of poisonous gas. It floats into garbage dumps, seeking out the fumes of raw, rotting trash.;It adores polluted air. Some claim that Koffing used to be more plentiful in the Galar region than they are now.;;;;;;;
Where two kinds of poison gases meet, two <<0109koff>> can fuse into a Weezing over many years.;This Pokémon lives and grows by absorbing poison gas, dust, and germs that exist inside garbage.;A twinned <<0109koff>> that forms on rare occasions where poisonous gases pool. Its two toxic gases appear to be different.;If one of the twin <<0109koff>> inflates, the other one deflates. It constantly mixes its poisonous gases.;Top-grade perfume is made using its internal poison gases by diluting them to the highest level.;When it inhales poisonous gases from garbage, its body expands, and its insides smell much worse.;Weezing loves the gases given off by rotted kitchen garbage. This Pokémon will find a dirty, unkempt house and make it its home. At night, when the people in the house are asleep, it will go through the trash.;Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed, the more powerful the toxins become. The Pokémon also becomes more putrid.;By diluting its toxic gases with a special process, the highest grade of perfume can be extracted. To Weezing, gases emanating from garbage are the ultimate feast.;Very rarely, a sudden mutation can result in two small <<0109koff>> twins becoming conjoined as a Weezing.;It grows by feeding on gases released by garbage. Though very rare, triplets have been found.;Inhaling toxic fumes from trash and mixing them inside its body lets it spread an even fouler stench.;It mixes gases between its two bodies. It's said that these Pokémon were seen all over the Galar region back in the day.;It can't suck in air quite as well as a Galarian Weezing, but the toxins it creates are more potent than those of its counterpart.;;;;;;
This Pokémon consumes particles that contaminate the air. Instead of leaving droppings, it expels clean air.;Long ago, during a time when droves of factories fouled the air with pollution, Weezing changed into this form for some reason.;;;;;;;;;;;;;;;;;;
Its massive bones are 1000 times harder than human bones. It can easily knock a trailer flying.;A Pokémon with a one-track mind. Once it charges, it won't stop running until it falls asleep.;Its bones are 1,000 times harder than human bones. Using its durability and strength, it can destroy tall buildings.;It is inept at turning because of its four short legs. It can only charge and run in one direction.;It doesn't care if there is anything in its way. It just charges and destroys all obstacles.;It can remember only one thing at a time. Once it starts rushing, it forgets why it started.;Rhyhorn runs in a straight line, smashing everything in its path. It is not bothered even if it rushes headlong into a block of steel. This Pokémon may feel some pain from the collision the next day, however.;Rhyhorn's brain is very small. It is so dense, while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something.;Once it starts running, it doesn't stop. Its tiny brain makes it so stupid that it can't remember why it started running in the first place.;Strong, but not too bright, this Pokémon can shatter even a skyscraper with its charging tackles.;Its body is clad in a thick hide, and its tackles topple buildings. Unfortunately, it is not smart.;Its powerful tackles can destroy anything. However, it is too slow witted to help people work.;Ludicrously strong—when it butts heads with a mountain, it is the mountain that shatters. But its short legs struggle with turns, and it is incapable of stopping unless it collides with something.;;;;;;;
Protected by an armor-like hide, it can survive in lava over 3,600 degrees. Its horn can bore holes through boulders.;Walks on its hind legs. Shows signs of intelligence. Its armor-like hide even repels molten lava.;Its rugged hide protects it from even the heat of lava. However, the hide also makes it insensitive.;Its brain developed after it stood up on its hind legs. Its drill horn bores tunnels through solid rock.;By lightly spinning its drill-like horn, it can easily shatter even a diamond in the rough.;Rhydon's horn can crush even uncut diamonds. One sweeping blow of its tail can topple a building. This Pokémon's hide is extremely tough. Even direct cannon hits don't leave a scratch.;Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokémon occasionally rams into streams of magma, but the armor-like hide prevents it from feeling the heat.;Its horn, which rotates like a drill, destroys tall buildings with one strike. It stands on its hind legs, and its brain is well developed.;It begins walking on its hind legs after evolution. It can punch holes through boulders with its horn.;Standing on its hind legs freed its forelegs and made it smarter. It is very forgetful, however.;Rapidly rotates its horn to bore through bedrock. It swaggers around volcanic regions, protected from the lava's heat by its tough, armorlike hide.;;;;;;;;;
A rare and elusive Pokémon that is said to bring happiness to those who manage to get it.;A gentle and kindhearted Pokémon that shares its nutritious eggs if it sees an injured Pokémon.;Lays very succulent eggs every day. If it is treated with love and care, its eggs appear to become even more delicious.;It walks carefully to prevent its egg from breaking. However, it is extremely fast at running away.;Being few in number and difficult to capture, it is said to bring happiness to the Trainer who catches it.;People try to catch it for its extremely nutritious eggs, but it rarely can be found.;Chansey lay nutritionally excellent eggs every day. The eggs are so delicious, they are eagerly devoured by even those people who have lost their appetite.;It lays several eggs a day. The eggs are apparently rich in nutrients and extremely delicious.;It is said to deliver happiness. Being compassionate, it shares its eggs with injured people.;It lays several eggs a day and won't share them with those who have evil in their hearts.;The eggs laid by Chansey are rich in nutrients and a favorite food of many Pokémon.;Not only are these Pokémon fast runners, they're also few in number, so anyone who finds one must be lucky indeed.;It seems that other Pokémon's efforts to take its delicious, nutritious egg away from it caused Chansey to get faster at fleeing.;Because the eggs on their bellies have been overharvested by people in the past, the Chansey population remains very small.;The egg Chansey carries is not only delicious but also packed with nutrition. It's used as a high-class cooking ingredient.;This species was once very slow. To protect their eggs from other creatures, these Pokémon became able to flee quickly.;This purehearted Pokémon shares its eggs with the injured. These eggs are so nutritious that they've been nicknamed 'doctors' doubles'.;;;
The whole body is swathed with wide vines that are similar to seaweed. The vines sway as it walks.;Its identity is obscured by masses of thick blue vines. The vines are said to never stop growing.;Blue plant vines cloak the Pokémon's identity in a tangled mass. It entangles anything that gets close.;The vines that cloak its entire body are always jiggling. They effectively unnerve its foes.;It tangles any moving thing with its vines. Their subtle shaking is ticklish if you get ensnared.;During battle, it constantly moves the vines that cover its body in order to annoy its opponent.;Its vines snap off easily and painlessly if they are grabbed, allowing it to make a quick getaway. The lost vines are replaced by new growth the very next day.;It is shrouded by blue vines. No one has seen the face hidden behind this growth of vines.;The blue vines shrouding its body are covered in a growth of fine hair. It is known to be ticklish.;Many writhing vines cover it, so its true identity remains unknown. The blue vines grow its whole life long.;Hidden beneath a tangle of vines that grows nonstop even if the vines are torn off, this Pokémon's true appearance remains a mystery.;The vines of a Tangela have a distinct scent. In some parts of Galar, Tangela vines are used as herbs.;It is cloaked entirely in blue vines, preventing any glimpse of its true identity. The vines impart a refreshing sensation when chewed—they're useful as a spice.;;;;;;;
The infant rarely ventures out of its mother's protective pouch until it is 3 years old.;Raises its young in its belly pouch. Won't run from any fight to keep its young protected.;The female raises its young in its belly pouch for around three years. The young is taken out once it learns to find food.;If it is safe, the young gets out of the belly pouch to play. The adult keeps a close eye on the youngster.;To protect its young, it will never give up during battle, no matter how badly wounded it is.;To avoid crushing the baby it carries in its pouch, it always sleeps standing up.;If you come across a young Kangaskhan playing by itself, never try to catch it. The baby's parent is sure to be in the area, and it will become violently enraged.;The female raises its offspring in a pouch on its belly. It is skilled at attacking using Comet Punch.;Kangaskhan's maternal love is so deep that it will brave death to protect its offspring.;The child in its pouch leaves home after roughly three years. That is the only time the mother is heard to cry wildly.;Kangaskhan protects its child by keeping it in its pouch. It has zero forgiveness for those who harm its child and will beat them down.;You shouldn't get close to the child when it's playing outside its mother's pouch. Its mother is always nearby watching over it.;Although it's carrying its baby in a pouch on its belly, Kangaskhan is swift on its feet. It intimidates its opponents with quick jabs.;There are records of a lost human child being raised by a childless Kangaskhan.;;;;;;
Known to shoot down flying bugs with precision blasts of ink from the surface of the water.;If Horsea senses danger, it will reflexively spray a dense black ink from its mouth and try to escape. This Pokémon swims by cleverly flapping the fin on its back.;Uses its tail to keep its balance while spraying ink from its mouth. The ink appears to be for shooting down bugs.;If attacked by a larger enemy, it quickly swims to safety by adeptly controlling its dorsal fin.;Its big, developed fins move rapidly, allowing it to swim backward while still facing forward.;When they're in a safe location, they can be seen playfully tangling their tails together.;Horsea eats small insects and moss off of rocks. If the ocean current turns fast, this Pokémon anchors itself by wrapping its tail around rocks or coral to prevent being washed away.;By cleverly flicking the fins on its back side to side, it moves in any direction while facing forward. It spits ink to escape if it senses danger.;It maintains balance using its tail, which is wound up like a coil. It may spray ink from its mouth.;It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees.;Horsea makes its home in oceans with gentle currents. If this Pokémon is under attack, it spits out pitch-black ink and escapes.;They swim with dance-like motions and cause whirlpools to form. Horsea compete to see which of them can generate the biggest whirlpool.;;;;;;;;
It is capable of swimming backwards by rapidly flapping its winglike pectoral fins and stout tail.;Touching the back fin causes numbness. It hooks its tail to coral to stay in place while sleeping.;A clever Pokémon that can swim backwards while facing forward. Fainting may result from a jab of its sharp spikes.;An examination of its cell revealed the presence of a gene not found in <<0116hors>>. It became a hot topic.;Its fin tips leak poison. Its fins and bones are highly valued as ingredients in herbal medicine.;The male raises the young. If it is approached, it uses its toxic spikes to fend off the intruder.;Seadra sleeps after wriggling itself between the branches of coral. Those trying to harvest coral are occasionally stung by this Pokémon's poison barbs if they fail to notice it.;Seadra generates whirlpools by spinning its body. The whirlpools are strong enough to swallow even fishing boats. This Pokémon weakens prey with these currents, then swallows it whole.;The poisonous barbs all over its body are highly valued as ingredients for making traditional herbal medicine. It shows no mercy to anything approaching its nest.;Its body bristles with sharp spikes. Carelessly trying to touch it could cause fainting from the spikes.;Its spines provide protection. Its fins and bones are prized as traditional-medicine ingredients.;It's the males that raise the offspring. While Seadra are raising young, the spines on their backs secrete thicker and stronger poison.;Seadra's mouth is slender, but its suction power is strong. In an instant, Seadra can suck in food that's larger than the opening of its mouth.;;;;;;;
Its tail fin billows like an elegant ballroom dress, giving it the nickname of 'The Water Queen'.;When it is time for them to lay eggs, they can be seen swimming up rivers and falls in large groups.;Its beautiful tail fin billows and flutters like an elegant dress. Swims at a speed of five knots.;Its dorsal, pectoral, and tail fins wave elegantly in water. That is why it is known as the Water Dancer.;A strong swimmer, it is capable of swimming nonstop up fast streams at a steady speed of five knots per hour.;During spawning season, they swim gracefully in the water, searching for their perfect mate.;Goldeen is a very beautiful Pokémon with fins that billow elegantly in water. However, don't let your guard down around this Pokémon—it could ram you powerfully with its horn.;Goldeen loves swimming wild and free in rivers and ponds. If one of these Pokémon is placed in an aquarium, it will shatter even the thickest glass with one ram of its horn and make its escape.;In the springtime, schools of Goldeen can be seen swimming up falls and rivers. It metes out staggering damage with its single horn.;Its dorsal and pectoral fins are strongly developed like muscles. It can swim at a speed of five knots.;It swims elegantly by flittering its tail fin as if it were a dress. It has the look of a queen.;It swims at a steady 5 knots. If it senses danger, it will strike back with its sharp horn.;Though it appears very elegant when swimming with fins unfurled, it can jab powerfully with its horn.;When the weather grows warm, they form groups and swim upriver. This sight serves as a poetic reminder that spring has arrived.;Spellbound by the length of its horn and the beauty of its fins, many strange Trainers raise Goldeen and nothing but Goldeen.;Although known for their splendid tail fins, Goldeen apparently compete among themselves to see whose horn is thickest and sharpest.;The way it swims along fluttering its dress-like fins has earned it the name 'princess of the water'.;;;
In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks.;It is the male's job to make a nest by carving out boulders in a stream using the horn on its head.;In the autumn, they travel up rivers to spawn. In other seasons, they make and live in their own nests.;During spawning season, Seaking gather from all over, coloring the rivers a brilliant red.;It punches holes in boulders on stream-beds. This is a clever innovation that prevents its eggs from being attacked or washed away by the current.;When autumn comes, the males patrol the area around their nests in order to protect their offspring.;In the autumn, Seaking males can be seen performing courtship dances in riverbeds to woo females. During this season, this Pokémon's body coloration is at its most beautiful.;Seaking is very protective of its eggs. The male and female will take turns patrolling around their nest and eggs. The guarding of eggs by these Pokémon goes on for over a month.;The horn on its head is sharp like a drill. It bores a hole in a boulder to make its nest.;It makes its nest by hollowing out boulders in streams with its horn. It defends its eggs with its life.;To protect its family, it will fight with its drill-sharp horn. It lives in hollowed rocks in streams.;In autumn, its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors.;When the weather grows cold, its whole body flushes a deep red. This sight serves as a poetic reminder that autumn has arrived.;Trainers who are crazy for Seaking are divided into horn enthusiasts and fin enthusiasts. The two groups do not get along well.;Its horn spins like a drill to steadily hollow out rocks—even harder ones. The coloration of the male is more vivid.;To attract females, males dance on the river's floor. The females gather around the male that dances most gracefully.;;;;
An enigmatic Pokémon that can effortlessly regenerate any appendage it loses in battle.;As long as the center section is unharmed, this Pokémon can grow back fully even if it is chopped to bits.;It is capable of growing back any portion of its body that is cut off. At night, the center core glows with a red light.;At night, the center of its body slowly flickers with the same rhythm as a human heartbeat.;Even if its body is torn, it can regenerate as long as the glowing central core remains intact.;When the stars twinkle at night, it floats up from the sea floor, and its body's center core flickers.;Staryu's center section has an organ called the core that shines bright red. If you go to a beach toward the end of summer, the glowing cores of these Pokémon look like the stars in the sky.;Staryu apparently communicates with the stars in the night sky by flashing the red core at the center of its body. If parts of its body are torn, this Pokémon simply regenerates the missing pieces and limbs.;It gathers with others in the night and makes its red core glow on and off with the twinkling stars. It can regenerate limbs if they are severed from its body.;Large numbers of these Pokémon make their home at the seaside. At night, a strange red glow radiates from the center of their bodies.;This Pokémon gets nibbled on by <<0457lumi>> and others. Thanks to its red core, it regenerates fast, so it's unconcerned by their snack attacks.;In many places, there are folktales of stardust falling into the ocean and becoming Staryu.;No number of injuries can bother Staryu. Its amazing regenerative powers return it to its previous state in half a day!;If you visit a beach at the end of summer, you'll be able to see groups of Staryu lighting up in a steady rhythm.;Fish Pokémon nibble at it, but Staryu isn't bothered. Its body regenerates quickly, even if part of it is completely torn off.;;;;;
